"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"20180924_QC_13"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_QC_13"	"20180924_QC_13.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_QC_14"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_QC_14"	"20180924_QC_14.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_QC_15"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_QC_15"	"20180924_QC_15.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_QC_16"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_QC_16"	"20180924_QC_16.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_QC_17"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_QC_17"	"20180924_QC_17.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_QC_18"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_QC_18"	"20180924_QC_18.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_QC_19"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_QC_19"	"20180924_QC_19.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_QC_20"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_QC_20"	"20180924_QC_20.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_QC_21"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_QC_21"	"20180924_QC_21.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20181002_QC_09"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20181002_QC_09"	"20181002_QC_09.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
